img_size,feature_count,train_r2,test_r2,r2_gap,rmse_test,duration_sec,converged_epoch,acc_within_5_pct,learning_rate,max_depth,rate_drop,skip_drop,subsample
32x32,1026,0.15881310346191035,0.018535638149056788,0.14027746531285357,0.3286825213204096,2.4022107124328613,8,1.6666666666666667,0.1,6,0.2,0.2,0.5
32x32,1026,0.02309650913179251,0.005006574510764805,0.018089934621027703,0.33094014138598943,2.043870210647583,0,0.0,0.1,6,0.2,0.2,0.6
32x32,1026,0.06342726802969145,0.006496651779467122,0.05693061625022433,0.33069224470087055,2.198606252670288,1,0.5555555555555556,0.1,6,0.2,0.2,0.7
32x32,1026,0.17299420726862214,0.014032111870098896,0.15896209539852324,0.3294357510228858,2.4196062088012695,6,0.5555555555555556,0.1,6,0.2,0.2,0.8
32x32,1026,0.06801795952943546,0.0036266908920133956,0.06439126863742206,0.3311695402197811,2.172147035598755,1,0.5555555555555556,0.1,6,0.2,0.2,0.9
32x32,1026,0.07891282328254579,0.006294539308821401,0.07261828397372438,0.33072588003175923,2.132052421569824,2,1.6666666666666667,0.1,6,0.2,0.1,0.5
32x32,1026,0.019206737706141785,0.0036835632501677207,0.015523174455974065,0.33116008861098123,2.122535467147827,0,0.5555555555555556,0.1,6,0.2,0.1,0.6
32x32,1026,0.09224913808739854,0.009853439224073002,0.08239569886332554,0.3301331107946276,2.19858980178833,2,0.5555555555555556,0.1,6,0.2,0.1,0.7
32x32,1026,0.06419186817605949,-0.0018821924704195414,0.06607406064647903,0.3320837857083586,2.1730666160583496,1,0.0,0.1,6,0.2,0.1,0.8
32x32,1026,0.10291654989207688,0.006289516201824941,0.09662703369025194,0.33072671592803243,2.422844648361206,2,0.5555555555555556,0.1,6,0.2,0.1,0.9
32x32,1026,0.10466796067002271,0.0018160091248935473,0.10285195154512916,0.33147031627508267,2.9460692405700684,2,1.1111111111111112,0.1,7,0.05,0.5,0.5
32x32,1026,0.027698787865834573,0.003037728538052731,0.024661059327781842,0.3312674039298094,2.744234085083008,0,0.0,0.1,7,0.05,0.5,0.6
32x32,1026,0.15090837472866347,0.019153266537029645,0.13175510819163383,0.3285790862844959,2.7900338172912598,3,0.5555555555555556,0.1,7,0.05,0.5,0.7
32x32,1026,0.07859226289195942,-0.00045737266356282724,0.07904963555552225,0.3318475663684794,2.629610538482666,1,0.5555555555555556,0.1,7,0.05,0.5,0.8
