nutrient,accuracy,macro_f1,weighted_f1,duration_sec,colsample_bytree,learning_rate,max_depth,n_estimators,rate_drop,skip_drop,subsample
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,60.744802951812744,0.8,0.05,4,150,0.2,0.5,0.8
P,0.6470588235294118,0.6518518518518519,0.6470588235294118,60.39398002624512,0.8,0.05,4,150,0.2,0.5,0.9
P,0.6862745098039216,0.6862945895203959,0.6849191289418993,169.29372811317444,0.8,0.05,4,250,0.1,0.5,0.7
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,169.15091037750244,0.8,0.05,4,250,0.1,0.5,0.8
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,170.03694772720337,0.8,0.05,4,250,0.1,0.5,0.9
P,0.6666666666666666,0.6666666666666666,0.6666666666666666,161.09346508979797,0.8,0.05,4,250,0.2,0.5,0.7
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,161.48053097724915,0.8,0.05,4,250,0.2,0.5,0.8
P,0.6470588235294118,0.6487284519542584,0.6451432185777537,161.26293206214905,0.8,0.05,4,250,0.2,0.5,0.9
P,0.6862745098039216,0.6862945895203959,0.6849191289418993,330.7340815067291,0.8,0.05,4,350,0.1,0.5,0.7
P,0.6470588235294118,0.6459030459030459,0.6446816564463623,331.8848195075989,0.8,0.05,4,350,0.1,0.5,0.8
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,332.4607617855072,0.8,0.05,4,350,0.1,0.5,0.9
P,0.6666666666666666,0.6666666666666666,0.6666666666666666,316.0340721607208,0.8,0.05,4,350,0.2,0.5,0.7
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,316.154301404953,0.8,0.05,4,350,0.2,0.5,0.8
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,316.7572867870331,0.8,0.05,4,350,0.2,0.5,0.9
P,0.6862745098039216,0.6862945895203959,0.6849191289418993,63.41954445838928,0.8,0.05,6,150,0.1,0.5,0.7
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,63.778501749038696,0.8,0.05,6,150,0.1,0.5,0.8
P,0.6666666666666666,0.6681252681252681,0.6642894995836173,64.97938990592957,0.8,0.05,6,150,0.1,0.5,0.9
